request_109 user_109 scale=0.97 date=2024-03-04 amount=1863.4 by=2024-05-26 partial=False
  balance=2976.46 min=1700.0 methods=['partial_payment', 'installments'] max_m=5
  series:
    rent               monthly  step= 30 n= 6 amt=      718.30 flex=fixed                  min=None latest=event_10084 next=['2024-04-02', '2024-05-02']
    utilities          monthly  step= 30 n= 5 amt=      118.34 flex=fixed                  min=None latest=event_10078 next=['2024-03-06', '2024-04-06', '2024-05-06']
    insurance          monthly  step= 30 n= 5 amt=       86.00 flex=fixed                  min=None latest=event_10079 next=['2024-03-07', '2024-04-07', '2024-05-07']
    cloud_storage      monthly  step= 30 n= 5 amt=       20.00 flex=stoppable              min=None latest=event_10080 next=['2024-03-12', '2024-04-12', '2024-05-12']
    streaming          monthly  step= 30 n= 5 amt=       53.00 flex=stoppable              min=None latest=event_10081 next=['2024-03-09', '2024-04-09', '2024-05-09']
    shopping           monthly  step= 30 n= 5 amt=       91.18 flex=fixed                  min=None latest=event_10082 next=['2024-03-12', '2024-04-12', '2024-05-12']
    entertainment      monthly  step= 30 n= 5 amt=       95.06 flex=fixed                  min=None latest=event_10083 next=['2024-03-14', '2024-04-14', '2024-05-14']
    groceries          periodic step= 10 n=18 amt=       83.42 flex=fixed                  min=None latest=event_10102 next=['2024-03-07', '2024-03-17', '2024-03-27', '2024-04-06']
    transport          periodic step=  5 n=36 amt=       47.53 flex=fixed                  min=None latest=event_10138 next=['2024-03-08', '2024-03-13', '2024-03-18', '2024-03-23']
    dining             periodic step=  7 n=25 amt=       70.81 flex=fixed                  min=None latest=event_10163 next=['2024-03-11', '2024-03-18', '2024-03-25', '2024-04-01']
  safe=563.59 earliest=2024-05-15 -> installments/affordable_with_plan plan=2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98 changes=stop:event_10080
    cand installments     deadline=True changes=1 total=1937.94 start=2024-03-18 n=3
  daily projection (days with flows, no payment applied):
    2024-03-04        2976.46  
    2024-03-06        2858.12  utilities: Electricity bill:-118.34
    2024-03-07        2688.70  insurance: Household insurance:-86.00, groceries: Bulk pantry shop:-83.42
    2024-03-08        2641.17  transport: Metro and bus fares:-47.53
    2024-03-09        2588.17  streaming: Video streaming plan:-53.00
    2024-03-11        2517.36  dining: Quick-service meal:-70.81
    2024-03-12        2406.18  cloud_storage: Shared storage plan:-20.00, shopping: Online retail purchases:-91.18
    2024-03-13        2358.65  transport: Metro and bus fares:-47.53
    2024-03-14        2263.59  entertainment: Cinema and events:-95.06
    2024-03-15        4659.27  salary:+2395.68
    2024-03-17        4575.85  groceries: Bulk pantry shop:-83.42
    2024-03-18        4457.51  transport: Metro and bus fares:-47.53, dining: Quick-service meal:-70.81
    2024-03-23        4409.98  transport: Metro and bus fares:-47.53
    2024-03-25        4339.17  dining: Quick-service meal:-70.81
    2024-03-27        4255.75  groceries: Bulk pantry shop:-83.42
    2024-03-28        4208.22  transport: Metro and bus fares:-47.53
    2024-04-01        4137.41  dining: Quick-service meal:-70.81
    2024-04-02        3371.58  rent: Apartment rent transfer:-718.30, transport: Metro and bus fares:-47.53
    2024-04-06        3169.82  utilities: Electricity bill:-118.34, groceries: Bulk pantry shop:-83.42
    2024-04-07        3036.29  insurance: Household insurance:-86.00, transport: Metro and bus fares:-47.53
    2024-04-08        2965.48  dining: Quick-service meal:-70.81
    2024-04-09        2912.48  streaming: Video streaming plan:-53.00
    2024-04-12        2753.77  cloud_storage: Shared storage plan:-20.00, shopping: Online retail purchases:-91.18, transport: Metro and bus fares:-47.53
    2024-04-14        2658.71  entertainment: Cinema and events:-95.06
    2024-04-15        4983.58  salary:+2395.68, dining: Quick-service meal:-70.81
    2024-04-16        4900.16  groceries: Bulk pantry shop:-83.42
    2024-04-17        4852.63  transport: Metro and bus fares:-47.53
    2024-04-22        4734.29  transport: Metro and bus fares:-47.53, dining: Quick-service meal:-70.81
    2024-04-26        4650.87  groceries: Bulk pantry shop:-83.42
    2024-04-27        4603.34  transport: Metro and bus fares:-47.53
    2024-04-29        4532.53  dining: Quick-service meal:-70.81
    2024-05-02        3766.70  rent: Apartment rent transfer:-718.30, transport: Metro and bus fares:-47.53
    2024-05-06        3494.13  utilities: Electricity bill:-118.34, groceries: Bulk pantry shop:-83.42, dining: Quick-service meal:-70.81
    2024-05-07        3360.60  insurance: Household insurance:-86.00, transport: Metro and bus fares:-47.53
    2024-05-09        3307.60  streaming: Video streaming plan:-53.00
    2024-05-12        3148.89  cloud_storage: Shared storage plan:-20.00, shopping: Online retail purchases:-91.18, transport: Metro and bus fares:-47.53
    2024-05-13        3078.08  dining: Quick-service meal:-70.81
    2024-05-14        2983.02  entertainment: Cinema and events:-95.06
    2024-05-15        5378.70  salary:+2395.68
    2024-05-16        5295.28  groceries: Bulk pantry shop:-83.42
    2024-05-17        5247.75  transport: Metro and bus fares:-47.53
    2024-05-20        5176.94  dining: Quick-service meal:-70.81
    2024-05-22        5129.41  transport: Metro and bus fares:-47.53
    2024-05-26        5045.99  groceries: Bulk pantry shop:-83.42
    2024-05-27        4927.65  transport: Metro and bus fares:-47.53, dining: Quick-service meal:-70.81
