request_119 user_119 scale=1.0 date=2025-05-04 amount=203500.0 by=2025-07-17 partial=False
  balance=282101.01 min=151200.0 methods=['partial_payment', 'installments'] max_m=3
  series:
    housing            monthly  step= 30 n= 5 amt=    17050.00 flex=fixed                  min=None latest=event_11011 next=['2025-05-05', '2025-06-05', '2025-07-05']
    utilities          monthly  step= 30 n= 5 amt=    11990.00 flex=fixed                  min=None latest=event_11012 next=['2025-05-08', '2025-06-08', '2025-07-08']
    insurance          monthly  step= 30 n= 5 amt=     7590.00 flex=fixed                  min=None latest=event_11013 next=['2025-05-09', '2025-06-09', '2025-07-09']
    education          monthly  step= 30 n= 5 amt=    14850.00 flex=fixed                  min=None latest=event_11014 next=['2025-05-10', '2025-06-10', '2025-07-10']
    healthcare         monthly  step= 30 n= 5 amt=     7670.00 flex=fixed                  min=None latest=event_11015 next=['2025-05-12', '2025-06-12', '2025-07-12']
    entertainment      monthly  step= 30 n= 5 amt=     5310.00 flex=reducible              min=2655.0 latest=event_11016 next=['2025-05-16', '2025-06-16', '2025-07-16']
    cloud_storage      monthly  step= 30 n= 5 amt=     1280.00 flex=fixed                  min=None latest=event_11017 next=['2025-05-14', '2025-06-14', '2025-07-14']
    groceries          periodic step= 10 n=18 amt=     7540.00 flex=fixed                  min=None latest=event_11035 next=['2025-05-09', '2025-05-19', '2025-05-29', '2025-06-08']
    transport          periodic step= 14 n=13 amt=     3520.00 flex=fixed                  min=None latest=event_11048 next=['2025-05-12', '2025-05-26', '2025-06-09', '2025-06-23']
    dining             periodic step= 21 n= 9 amt=     4740.00 flex=reducible              min=2370.0 latest=event_11057 next=['2025-05-14', '2025-06-05', '2025-06-26', '2025-07-17']
  safe=54671.01 earliest=2025-06-15 -> installments/affordable_with_plan plan=2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67 changes=reduce_to:event_11057:2370
    cand installments     deadline=True changes=1 total=211640.01 start=2025-05-18 n=3
  daily projection (days with flows, no payment applied):
    2025-05-04      282101.01  
    2025-05-05      265051.01  housing: Property maintenance contribution:-17050.00
    2025-05-08      253061.01  utilities: Electricity and water bill:-11990.00
    2025-05-09      237931.01  insurance: Vehicle insurance premium:-7590.00, groceries: Bulk pantry shop:-7540.00
    2025-05-10      223081.01  education: Course tuition:-14850.00
    2025-05-12      211891.01  healthcare: Therapy appointment:-7670.00, transport: Metro and bus fares:-3520.00
    2025-05-14      205871.01  cloud_storage: Cloud storage plan:-1280.00, dining: Family dinner:-4740.00
    2025-05-15      381871.01  salary:+176000.00
    2025-05-16      376561.01  entertainment: Weekend entertainment:-5310.00
    2025-05-19      369021.01  groceries: Bulk pantry shop:-7540.00
    2025-05-26      365501.01  transport: Metro and bus fares:-3520.00
    2025-05-29      357961.01  groceries: Bulk pantry shop:-7540.00
    2025-06-05      336171.01  housing: Property maintenance contribution:-17050.00, dining: Family dinner:-4740.00
    2025-06-08      316641.01  utilities: Electricity and water bill:-11990.00, groceries: Bulk pantry shop:-7540.00
    2025-06-09      305531.01  insurance: Vehicle insurance premium:-7590.00, transport: Metro and bus fares:-3520.00
    2025-06-10      290681.01  education: Course tuition:-14850.00
    2025-06-12      283011.01  healthcare: Therapy appointment:-7670.00
    2025-06-14      281731.01  cloud_storage: Cloud storage plan:-1280.00
    2025-06-15      457731.01  salary:+176000.00
    2025-06-16      452421.01  entertainment: Weekend entertainment:-5310.00
    2025-06-18      444881.01  groceries: Bulk pantry shop:-7540.00
    2025-06-23      441361.01  transport: Metro and bus fares:-3520.00
    2025-06-26      436621.01  dining: Family dinner:-4740.00
    2025-06-28      429081.01  groceries: Bulk pantry shop:-7540.00
    2025-07-05      412031.01  housing: Property maintenance contribution:-17050.00
    2025-07-07      408511.01  transport: Metro and bus fares:-3520.00
    2025-07-08      388981.01  utilities: Electricity and water bill:-11990.00, groceries: Bulk pantry shop:-7540.00
    2025-07-09      381391.01  insurance: Vehicle insurance premium:-7590.00
    2025-07-10      366541.01  education: Course tuition:-14850.00
    2025-07-12      358871.01  healthcare: Therapy appointment:-7670.00
    2025-07-14      357591.01  cloud_storage: Cloud storage plan:-1280.00
    2025-07-15      533591.01  salary:+176000.00
    2025-07-16      528281.01  entertainment: Weekend entertainment:-5310.00
    2025-07-17      523541.01  dining: Family dinner:-4740.00
    2025-07-18      516001.01  groceries: Bulk pantry shop:-7540.00
    2025-07-21      512481.01  transport: Metro and bus fares:-3520.00
