request_97 user_97 scale=0.97 date=2024-03-05 amount=23496.0 by=2024-05-24 partial=False
  balance=38565.89 min=29700.0 methods=['installments'] max_m=5
  series:
    rent               monthly  step= 30 n= 6 amt=    11792.00 flex=fixed                  min=None latest=event_9007 next=['2024-04-02', '2024-05-02']
    utilities          monthly  step= 30 n= 5 amt=     1944.27 flex=fixed                  min=None latest=event_9004 next=['2024-03-06', '2024-04-06', '2024-05-06']
    debt_repayment     monthly  step= 30 n= 5 amt=     3531.00 flex=fixed                  min=None latest=event_9005 next=['2024-03-11', '2024-04-11', '2024-05-11']
    music_subscription monthly  step= 30 n= 5 amt=      218.90 flex=stoppable              min=None latest=event_9006 next=['2024-03-11', '2024-04-11', '2024-05-11']
    groceries          periodic step= 14 n=13 amt=     1394.67 flex=fixed                  min=None latest=event_9020 next=['2024-03-10', '2024-03-24', '2024-04-07', '2024-04-21']
    transport          periodic step= 21 n= 9 amt=      786.09 flex=fixed                  min=None latest=event_9029 next=['2024-03-14', '2024-04-08', '2024-04-29', '2024-05-20']
    dining             periodic step= 21 n= 9 amt=     1120.35 flex=reducible              min=577.5 latest=event_9038 next=['2024-03-14', '2024-04-09', '2024-04-30', '2024-05-21']
  safe=0.0 earliest=2024-04-15 -> installments/affordable_with_plan plan=2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28 changes=stop:event_9006
    cand installments     deadline=True changes=1 total=24435.84 start=2024-03-19 n=3
  daily projection (days with flows, no payment applied):
    2024-03-05       38565.89  
    2024-03-06       36621.62  utilities: Water and power payment:-1944.27
    2024-03-10       35226.96  groceries: Household groceries:-1394.67
    2024-03-11       31477.06  debt_repayment: Loan repayment:-3531.00, music_subscription: Audio streaming plan:-218.90
    2024-03-14       29570.62  transport: Fuel refill:-786.09, dining: Neighbourhood restaurant:-1120.35
    2024-03-15       64990.62  salary:+35420.00
    2024-03-24       63595.95  groceries: Household groceries:-1394.67
    2024-04-02       51803.95  rent: Landlord standing order:-11792.00
    2024-04-06       49859.68  utilities: Water and power payment:-1944.27
    2024-04-07       48465.02  groceries: Household groceries:-1394.67
    2024-04-08       47678.93  transport: Fuel refill:-786.09
    2024-04-09       46558.58  dining: Neighbourhood restaurant:-1120.35
    2024-04-11       42808.68  debt_repayment: Loan repayment:-3531.00, music_subscription: Audio streaming plan:-218.90
    2024-04-15       78228.68  salary:+35420.00
    2024-04-21       76834.01  groceries: Household groceries:-1394.67
    2024-04-29       76047.93  transport: Fuel refill:-786.09
    2024-04-30       74927.58  dining: Neighbourhood restaurant:-1120.35
    2024-05-02       63135.58  rent: Landlord standing order:-11792.00
    2024-05-05       61740.91  groceries: Household groceries:-1394.67
    2024-05-06       59796.64  utilities: Water and power payment:-1944.27
    2024-05-11       56046.74  debt_repayment: Loan repayment:-3531.00, music_subscription: Audio streaming plan:-218.90
    2024-05-15       91466.74  salary:+35420.00
    2024-05-19       90072.08  groceries: Household groceries:-1394.67
    2024-05-20       89285.99  transport: Fuel refill:-786.09
    2024-05-21       88165.64  dining: Neighbourhood restaurant:-1120.35
